goal,instance,verdict,duration
w2,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.021
w5,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.021
q4,exp_acyclic_depvary_step10_batch_yyy01.pl,no,0.019
x5,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.022
z3,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.022
u2,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.021
t4,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.024
c4,exp_acyclic_depvary_step10_batch_yyy01.pl,no,0.022
u3,exp_acyclic_depvary_step10_batch_yyy01.pl,no,0.022
v4,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,0.021
p5,exp_acyclic_depvary_step10_batch_yyy02.pl,no,0.02
c5,exp_acyclic_depvary_step10_batch_yyy02.pl,no,0.021
q4,exp_acyclic_depvary_step10_batch_yyy02.pl,no,0.022
a4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,0.026
r5,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,0.022
w4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,0.021
b6,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,0.021
p1,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,0.025
u3,exp_acyclic_depvary_step10_batch_yyy02.pl,no,0.023
e3,exp_acyclic_depvary_step10_batch_yyy02.pl,no,0.024
s3,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.023
y4,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.027
x2,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,0.027
e4,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.028
f3,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,0.026
u3,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,0.03
f4,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.028
w3,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,0.029
v1,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.027
p3,exp_acyclic_depvary_step10_batch_yyy03.pl,no,0.029
t4,exp_acyclic_depvary_step10_batch_yyy04.pl,no,0.038
s5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,0.043
q4,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,0.027
e4,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,0.028
w1,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,0.029
y1,exp_acyclic_depvary_step10_batch_yyy04.pl,no,0.026
