id,instance,goal,correct_result
1,instance_n=10_m=0_b=0.lp,fr9_r1,
2,instance_n=10_m=0_b=0.lp,fr3_p3,
3,instance_n=10_m=0_b=0.lp,fr9_z3,
4,instance_n=10_m=0_b=0.lp,fr3_t2,
5,instance_n=10_m=0_b=0.lp,fr10_u1,
6,instance_n=10_m=0_b=0.lp,fr10_y1,
7,instance_n=10_m=0_b=0.lp,fr7_r2,
8,instance_n=10_m=0_b=0.lp,fr7_u1,
9,instance_n=10_m=0_b=0.lp,fr4_q2,
10,instance_n=10_m=0_b=0.lp,fr1_b1,
11,instance_n=10_m=0_b=1.lp,fr1_f1,
12,instance_n=10_m=0_b=1.lp,fr8_c1,
13,instance_n=10_m=0_b=1.lp,fr4_u1,
14,instance_n=10_m=0_b=1.lp,fr10_w1,
15,instance_n=10_m=0_b=1.lp,fr6_p1,
16,instance_n=10_m=0_b=1.lp,fr10_z3,
17,instance_n=10_m=0_b=1.lp,fr5_c2,
18,instance_n=10_m=0_b=1.lp,fr8_r2,
19,instance_n=10_m=0_b=1.lp,fr8_x3,
20,instance_n=10_m=0_b=1.lp,fr9_v1,
21,instance_n=10_m=0_b=2.lp,fr3_y1,
22,instance_n=10_m=0_b=2.lp,fr2_x1,
23,instance_n=10_m=0_b=2.lp,fr8_e4,
24,instance_n=10_m=0_b=2.lp,fr7_u1,
25,instance_n=10_m=0_b=2.lp,fr5_p3,
26,instance_n=10_m=0_b=2.lp,fr3_q7,
27,instance_n=10_m=0_b=2.lp,fr10_x3,
28,instance_n=10_m=0_b=2.lp,fr2_p1,
29,instance_n=10_m=0_b=2.lp,fr3_c2,
30,instance_n=10_m=0_b=2.lp,fr5_a1,
31,instance_n=10_m=0_b=3.lp,fr8_s3,
32,instance_n=10_m=0_b=3.lp,fr3_c1,
33,instance_n=10_m=0_b=3.lp,fr8_q5,
34,instance_n=10_m=0_b=3.lp,fr8_z2,
35,instance_n=10_m=0_b=3.lp,fr7_f1,
36,instance_n=10_m=0_b=3.lp,fr2_f3,
37,instance_n=10_m=0_b=3.lp,fr6_x1,
38,instance_n=10_m=0_b=3.lp,fr3_d4,
39,instance_n=10_m=0_b=3.lp,fr8_s4,
40,instance_n=10_m=0_b=3.lp,fr2_a3,
