id,instance,goal,result,duration,verdict
20,aba_5000_0.3_10_10_0.aba,s3055,,600.0,TIMEOUT
51,aba_5000_0.3_5_5_8.aba,s3456,,600.0,TIMEOUT
52,aba_2000_0.3_5_5_9.aba,s1266,,600.0,TIMEOUT
64,aba_5000_0.3_10_10_5.aba,s4437,,600.0,TIMEOUT
73,aba_5000_0.3_10_10_6.aba,s746,,600.0,TIMEOUT
80,aba_5000_0.3_5_5_3.aba,s1482,,600.0,TIMEOUT
86,aba_5000_0.3_5_5_1.aba,s1538,,600.0,TIMEOUT
102,aba_5000_0.3_5_5_6.aba,s3728,,600.0,TIMEOUT
118,aba_2000_0.3_5_5_1.aba,s1864,,600.0,TIMEOUT
135,aba_5000_0.3_10_10_3.aba,s805,,600.0,TIMEOUT
137,aba_2000_0.3_5_5_5.aba,s1864,,600.0,TIMEOUT
180,aba_5000_0.3_5_5_4.aba,s2164,,600.0,TIMEOUT
208,aba_5000_0.3_5_5_5.aba,s1372,,600.0,TIMEOUT
209,aba_5000_0.3_5_5_7.aba,s2005,,600.0,TIMEOUT
222,aba_5000_0.3_5_5_2.aba,s3069,,600.0,TIMEOUT
233,aba_2000_0.3_5_5_0.aba,s1511,,600.0,TIMEOUT
249,aba_5000_0.3_10_10_9.aba,s2996,,600.0,TIMEOUT
280,aba_5000_0.3_5_5_0.aba,s4221,,600.0,TIMEOUT
325,aba_5000_0.3_10_10_2.aba,s2403,,600.0,TIMEOUT
326,aba_5000_0.3_10_10_7.aba,s1675,,600.0,TIMEOUT
342,aba_5000_0.1_5_5_8.aba,s2777,,600.0,TIMEOUT
347,aba_5000_0.3_5_5_9.aba,s4902,,600.0,TIMEOUT
362,aba_5000_0.3_10_10_4.aba,s1040,,600.0,TIMEOUT
