id,instance,goal,adm_result,stb_result,is_trivial
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,yes,no
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,yes,no
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,no,no
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,yes,no
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,yes,no
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,yes,no
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,yes,no
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,no,no
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,no,no
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,yes,no
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,no,yes
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,no,no
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,no,no
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,no,no
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,no,no
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,no,no
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,no,no
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,no,no
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,no,no
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,no,no
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,no,yes
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,no,no
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,yes,no
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,no,no,no
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,yes,no
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,yes,no
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,no,no
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,yes,no
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,no,no,no
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,no,no
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,no,yes
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,yes,no
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,yes,no
