id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,1.94,yes,corr,1.0,None,None,None,no
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.31,yes,corr,1.0,None,None,None,no
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,86.86,no,corr,23.0,None,None,None,no
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.24,yes,corr,2.0,None,None,None,no
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,0.37,yes,corr,9.0,None,None,None,no
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.21,yes,corr,1.0,None,None,None,no
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.22,yes,corr,1.0,None,None,None,no
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.28,no,corr,1.0,None,None,None,no
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,188.86,no,corr,25.0,None,None,None,no
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,0.39,yes,corr,5.0,None,None,None,no
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.29,no,corr,0.0,None,None,None,yes
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,0.28,no,corr,6.0,None,None,None,no
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.27,no,corr,1.0,None,None,None,no
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.22,yes,corr,4.0,None,None,None,no
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.15,yes,corr,1.0,None,None,None,no
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.23,yes,corr,1.0,None,None,None,no
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.28,yes,corr,1.0,None,None,None,no
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.24,yes,corr,1.0,None,None,None,no
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.24,no,corr,1.0,None,None,None,no
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.16,no,corr,1.0,None,None,None,no
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.19,no,corr,0.0,None,None,None,yes
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,7.75,no,corr,16.0,None,None,None,no
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.22,yes,corr,1.0,None,None,None,no
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,,no
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,0.29,yes,corr,1.0,None,None,None,no
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.22,yes,corr,1.0,None,None,None,no
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.44,no,corr,2.0,None,None,None,no
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.55,yes,corr,1.0,None,None,None,no
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,,,,,no
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,0.65,no,corr,8.0,None,None,None,no
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.37,no,corr,0.0,None,None,None,yes
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,0.59,yes,corr,5.0,None,None,None,no
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,1.08,yes,corr,7.0,None,None,None,no
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,0.61,yes,corr,1.0,None,None,None,no
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.28,yes,corr,1.0,None,None,None,no
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600.0,no,TIMEOUT,,,,,no
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,no,38.27,no,corr,25.0,None,None,None,no
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,1.38,no,corr,13.0,None,None,None,no
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,yes,7.4,yes,corr,16.0,None,None,None,no
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.37,yes,corr,1.0,None,None,None,no
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,0.79,no,corr,14.0,None,None,None,no
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,0.26,no,corr,1.0,None,None,None,no
43,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.23,yes,corr,0.0,None,None,None,no
44,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.41,yes,corr,1.0,None,None,None,no
45,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,0.67,yes,corr,6.0,None,None,None,no
46,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,0.75,no,corr,18.0,None,None,None,no
47,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,11.5,no,corr,18.0,None,None,None,no
48,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,0.38,yes,corr,6.0,None,None,None,no
49,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,2.47,no,corr,12.0,None,None,None,no
50,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.45,yes,corr,1.0,None,None,None,no
51,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,0.34,no,corr,0.0,None,None,None,yes
52,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.31,yes,corr,1.0,None,None,None,no
53,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,0.21,no,corr,1.0,None,None,None,no
54,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,0.34,no,corr,1.0,None,None,None,no
55,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.27,yes,corr,1.0,None,None,None,no
56,exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,0.3,yes,corr,1.0,None,None,None,no
57,exp_acyclic_depvary_step10_batch_yyy06.pl,c1,yes,0.23,yes,corr,1.0,None,None,None,no
58,exp_acyclic_depvary_step10_batch_yyy06.pl,r4,no,0.33,no,corr,3.0,None,None,None,no
59,exp_acyclic_depvary_step10_batch_yyy06.pl,y1,no,0.31,no,corr,3.0,None,None,None,no
60,exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,0.42,yes,corr,2.0,None,None,None,no
61,exp_acyclic_depvary_step10_batch_yyy07.pl,d4,,600.0,no,TIMEOUT,,,,,no
62,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,0.33,no,corr,0.0,None,None,None,yes
63,exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,49.09,no,corr,24.0,None,None,None,no
64,exp_acyclic_depvary_step10_batch_yyy07.pl,z4,no,207.65,no,corr,25.0,None,None,None,no
65,exp_acyclic_depvary_step10_batch_yyy07.pl,y1,no,246.6,no,corr,24.0,None,None,None,no
