instance,goal,easy_instance,hard_instance,correct_result,is_trivial,steps_needed
exp_acyclic_depvary_step2_batch_yyy10.pl+aba_5000_0.3_10_10_0.aba,r2,exp_acyclic_depvary_step2_batch_yyy10.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_acyclic_indvary3_step6_batch_yyy01.pl+aba_5000_0.3_10_10_0.aba,e2,exp_acyclic_indvary3_step6_batch_yyy01.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_acyclic_depvary_step7_batch_yyy03.pl+aba_5000_0.3_10_10_0.aba,p1,exp_acyclic_depvary_step7_batch_yyy03.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_acyclic_indvary2_step6_batch_yyy06.pl+aba_5000_0.3_10_10_0.aba,f2,exp_acyclic_indvary2_step6_batch_yyy06.pl,aba_5000_0.3_10_10_0.aba,no,no,1.0
exp_acyclic_depvary_step4_batch_yyy05.pl+aba_5000_0.3_10_10_0.aba,z2,exp_acyclic_depvary_step4_batch_yyy05.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_acyclic_indvary2_step8_batch_yyy10.pl+aba_5000_0.3_10_10_0.aba,d1,exp_acyclic_indvary2_step8_batch_yyy10.pl,aba_5000_0.3_10_10_0.aba,no,no,1.0
exp_cycles_indvary2_step8_batch_yyy03.pl+aba_5000_0.3_10_10_0.aba,u2,exp_cycles_indvary2_step8_batch_yyy03.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_cycles_indvary2_step5_batch_yyy10.pl+aba_5000_0.3_10_10_0.aba,r3,exp_cycles_indvary2_step5_batch_yyy10.pl,aba_5000_0.3_10_10_0.aba,yes,no,1.0
exp_acyclic_indvary1_step5_batch_yyy04.pl+aba_5000_0.3_10_10_0.aba,e1,exp_acyclic_indvary1_step5_batch_yyy04.pl,aba_5000_0.3_10_10_0.aba,yes,no,0.0
exp_acyclic_indvary2_step4_batch_yyy02.pl+aba_5000_0.3_10_10_0.aba,c3,exp_acyclic_indvary2_step4_batch_yyy02.pl,aba_5000_0.3_10_10_0.aba,no,no,4.0
exp_acyclic_depvary_step2_batch_yyy10.pl+aba_5000_0.3_5_5_8.aba,r2,exp_acyclic_depvary_step2_batch_yyy10.pl,aba_5000_0.3_5_5_8.aba,yes,no,1.0
exp_acyclic_indvary3_step6_batch_yyy01.pl+aba_5000_0.3_5_5_8.aba,e2,exp_acyclic_indvary3_step6_batch_yyy01.pl,aba_5000_0.3_5_5_8.aba,yes,no,1.0
exp_acyclic_depvary_step7_batch_yyy03.pl+aba_5000_0.3_5_5_8.aba,p1,exp_acyclic_depvary_step7_batch_yyy03.pl,aba_5000_0.3_5_5_8.aba,yes,no,1.0
exp_acyclic_indvary2_step6_batch_yyy06.pl+aba_5000_0.3_5_5_8.aba,f2,exp_acyclic_indvary2_step6_batch_yyy06.pl,aba_5000_0.3_5_5_8.aba,no,no,1.0
exp_acyclic_depvary_step4_batch_yyy05.pl+aba_5000_0.3_5_5_8.aba,z2,exp_acyclic_depvary_step4_batch_yyy05.pl,aba_5000_0.3_5_5_8.aba,yes,no,1.0
exp_acyclic_indvary2_step8_batch_yyy10.pl+aba_5000_0.3_5_5_8.aba,d1,exp_acyclic_indvary2_step8_batch_yyy10.pl,aba_5000_0.3_5_5_8.aba,no,no,1.0
