instance,goal,result,duration,correct_result,verdict,steps_obtained
exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,10.55,yes,corr,2
exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,1.81,yes,corr,3
exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,2.17,no,corr,
exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,1.86,yes,corr,6
exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,2.35,yes,corr,40
exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,1.92,yes,corr,10
exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,1.9,yes,corr,11
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,1.85,no,corr,
exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,5.25,no,corr,
exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,2.36,yes,corr,42
exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,1.62,no,corr,
exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,2.1,no,corr,
exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,1.94,no,corr,
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,2.11,yes,corr,28
exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,1.75,yes,corr,5
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,1.79,yes,corr,7
exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,2.0,yes,corr,11
exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,1.84,yes,corr,9
exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,1.79,no,corr,
exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,2.08,no,corr,
exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,1.61,no,corr,
exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,1.94,no,corr,
