instance,goal,result,duration,correct_result,verdict,steps_obtained
exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.22,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.08,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,24
exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.41,yes,corr,2
exp_acyclic_depvary_step10_batch_yyy01.pl,z3,,600.0,yes,TIMEOUT,23
exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.14,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,,600.0,no,TIMEOUT,14
exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,24
exp_acyclic_depvary_step10_batch_yyy01.pl,v4,,600.0,yes,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.16,no,corr,0
exp_acyclic_depvary_step10_batch_yyy02.pl,c5,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy02.pl,q4,,600.0,no,TIMEOUT,25
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,,600.0,yes,TIMEOUT,11
exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.15,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.13,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.13,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,u3,,600.0,no,TIMEOUT,25
exp_acyclic_depvary_step10_batch_yyy02.pl,e3,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.16,no,corr,0
exp_acyclic_depvary_step10_batch_yyy03.pl,y4,,600.0,no,TIMEOUT,17
exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.14,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,48
