id,instance,goal,result,duration,correct_result,verdict,steps_obtained
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.19,yes,corr,1
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.08,yes,corr,1
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600,no,TIMEOUT,28
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.28,yes,corr,2
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,,600,yes,TIMEOUT,24
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.11,yes,corr,1
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.12,yes,corr,1
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,,600,no,TIMEOUT,14
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600,no,TIMEOUT,26
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,,600,yes,TIMEOUT,20
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.16,no,corr,0
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,,600,no,TIMEOUT,29
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,,600,no,TIMEOUT,26
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,,600,yes,TIMEOUT,14
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.12,yes,corr,1
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.11,yes,corr,1
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.11,yes,corr,1
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.11,yes,corr,1
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,,600,no,TIMEOUT,27
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,,600,no,TIMEOUT,26
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.17,no,corr,0
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,,600,no,TIMEOUT,17
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.14,yes,corr,1
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600,no,TIMEOUT,22
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,,600,yes,TIMEOUT,16
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.13,yes,corr,1
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,,600,no,TIMEOUT,20
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.13,yes,corr,1
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600,no,TIMEOUT,25
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,,600,no,TIMEOUT,21
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.15,no,corr,0
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,,600,yes,TIMEOUT,24
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,,600,yes,TIMEOUT,21
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,224.59,yes,corr,13
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.13,yes,corr,1
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600,no,TIMEOUT,25
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,,600,no,TIMEOUT,20
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,,600,no,TIMEOUT,19
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,,600,yes,TIMEOUT,24
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.09,yes,corr,1
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,,600,no,TIMEOUT,29
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,,600,no,TIMEOUT,21
43,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.09,yes,corr,0
44,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.11,yes,corr,1
45,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,,600,yes,TIMEOUT,15
46,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,,600,no,TIMEOUT,20
47,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,,600,no,TIMEOUT,30
48,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,,600,yes,TIMEOUT,19
49,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,,600,no,TIMEOUT,26
50,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.09,yes,corr,1
51,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,0.09,no,corr,0
52,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.09,yes,corr,1
53,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,,600,no,TIMEOUT,23
54,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,,600,no,TIMEOUT,20
55,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.12,yes,corr,1
56,exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,0.12,yes,corr,1
57,exp_acyclic_depvary_step10_batch_yyy06.pl,c1,,600,yes,TIMEOUT,14
58,exp_acyclic_depvary_step10_batch_yyy06.pl,r4,,600,no,TIMEOUT,21
59,exp_acyclic_depvary_step10_batch_yyy06.pl,y1,,600,no,TIMEOUT,21
60,exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,0.57,yes,corr,2
61,exp_acyclic_depvary_step10_batch_yyy07.pl,d4,,600,no,TIMEOUT,28
62,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,0.1,no,corr,0
63,exp_acyclic_depvary_step10_batch_yyy07.pl,b4,,600,no,TIMEOUT,30
64,exp_acyclic_depvary_step10_batch_yyy07.pl,z4,,600,no,TIMEOUT,26
65,exp_acyclic_depvary_step10_batch_yyy07.pl,y1,,600,no,TIMEOUT,26
66,exp_acyclic_depvary_step10_batch_yyy07.pl,r2,,600,yes,TIMEOUT,28
67,exp_acyclic_depvary_step10_batch_yyy07.pl,u2,yes,0.09,yes,corr,1
68,exp_acyclic_depvary_step10_batch_yyy07.pl,a6,yes,0.08,yes,corr,1
69,exp_acyclic_depvary_step10_batch_yyy07.pl,b3,yes,0.04,yes,corr,0
70,exp_acyclic_depvary_step10_batch_yyy07.pl,y4,,600,no,TIMEOUT,28
71,exp_acyclic_depvary_step10_batch_yyy08.pl,c3,,600,yes,TIMEOUT,22
72,exp_acyclic_depvary_step10_batch_yyy08.pl,e1,,600,yes,TIMEOUT,14
73,exp_acyclic_depvary_step10_batch_yyy08.pl,v5,,600,yes,TIMEOUT,22
74,exp_acyclic_depvary_step10_batch_yyy08.pl,a5,,600,yes,TIMEOUT,15
75,exp_acyclic_depvary_step10_batch_yyy08.pl,a4,,600,no,TIMEOUT,26
76,exp_acyclic_depvary_step10_batch_yyy08.pl,z2,,600,no,TIMEOUT,28
77,exp_acyclic_depvary_step10_batch_yyy08.pl,q3,yes,0.14,yes,corr,1
78,exp_acyclic_depvary_step10_batch_yyy08.pl,t1,,600,no,TIMEOUT,26
79,exp_acyclic_depvary_step10_batch_yyy08.pl,z4,,600,yes,TIMEOUT,20
80,exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,0.1,no,corr,0
81,exp_acyclic_depvary_step10_batch_yyy09.pl,b2,,600,no,TIMEOUT,16
82,exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,0.06,no,corr,0
83,exp_acyclic_depvary_step10_batch_yyy09.pl,t3,yes,0.08,yes,corr,1
84,exp_acyclic_depvary_step10_batch_yyy09.pl,z1,yes,0.09,yes,corr,1
85,exp_acyclic_depvary_step10_batch_yyy09.pl,f5,yes,0.05,yes,corr,0
86,exp_acyclic_depvary_step10_batch_yyy09.pl,z4,,600,no,TIMEOUT,21
87,exp_acyclic_depvary_step10_batch_yyy09.pl,e3,,600,no,TIMEOUT,24
88,exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,0.09,no,corr,0
89,exp_acyclic_depvary_step10_batch_yyy09.pl,a3,,600,no,TIMEOUT,23
90,exp_acyclic_depvary_step10_batch_yyy09.pl,q2,,600,no,TIMEOUT,25
91,exp_acyclic_depvary_step10_batch_yyy10.pl,d5,,600,yes,TIMEOUT,20
92,exp_acyclic_depvary_step10_batch_yyy10.pl,a6,,600,yes,TIMEOUT,14
93,exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,0.1,no,corr,0
94,exp_acyclic_depvary_step10_batch_yyy10.pl,x3,yes,0.12,yes,corr,1
95,exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,0.08,no,corr,0
96,exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,0.11,no,corr,0
97,exp_acyclic_depvary_step10_batch_yyy10.pl,b5,,600,no,TIMEOUT,28
98,exp_acyclic_depvary_step10_batch_yyy10.pl,e3,yes,0.16,yes,corr,1
99,exp_acyclic_depvary_step10_batch_yyy10.pl,x1,,600,yes,TIMEOUT,13
100,exp_acyclic_depvary_step10_batch_yyy10.pl,r3,,600,no,TIMEOUT,23
101,exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,0.09,no,corr,0
102,exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,0.05,no,corr,0
103,exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,0.08,no,corr,0
104,exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,0.06,no,corr,0
