id,rulesNo,assumptionsNo,worstCase,relevantRulesNo,worstCaseRelevant,relevantPerc,instance,goal
1,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,w2
2,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,w5
3,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,q4
4,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,x5
5,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,z3
6,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,u2
7,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,t4
8,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,c4
9,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,u3
10,270,33,606,253,572,0.94,exp_acyclic_depvary_step10_batch_yyy01.pl,v4
11,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,c5
12,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,q4
13,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,a4
14,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,r5
15,253,33,572,233,532,0.93,exp_acyclic_depvary_step10_batch_yyy02.pl,w4
16,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,b6
17,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,p1
18,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,u3
19,253,33,572,223,512,0.9,exp_acyclic_depvary_step10_batch_yyy02.pl,e3
20,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,y4
21,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,x2
22,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,e4
23,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,f3
24,286,33,638,248,562,0.88,exp_acyclic_depvary_step10_batch_yyy03.pl,u3
25,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,f4
26,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,w3
27,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,v1
28,286,33,638,242,550,0.86,exp_acyclic_depvary_step10_batch_yyy03.pl,p3
29,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,s5
30,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,q4
31,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,e4
32,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,w1
33,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,y1
34,296,33,658,258,582,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,p2
35,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,r2
36,296,33,658,256,578,0.88,exp_acyclic_depvary_step10_batch_yyy04.pl,a4
37,296,33,658,269,604,0.92,exp_acyclic_depvary_step10_batch_yyy04.pl,x2
38,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,c3
39,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,e1
40,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,f5
41,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,y3
42,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,r4
43,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,p1
44,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,c2
45,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,b1
46,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,u2
47,288,33,642,252,570,0.89,exp_acyclic_depvary_step10_batch_yyy05.pl,t1
48,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,t3
49,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,a5
50,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,q4
51,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,f5
52,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,z4
53,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,c1
54,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,r4
55,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,y1
56,307,33,680,303,672,0.99,exp_acyclic_depvary_step10_batch_yyy06.pl,p1
57,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,d4
58,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,b4
59,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,z4
60,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,y1
61,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,r2
62,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,u2
63,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,a6
64,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,b3
65,270,33,606,237,540,0.89,exp_acyclic_depvary_step10_batch_yyy07.pl,y4
66,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,c3
67,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,e1
68,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,v5
69,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,a5
70,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,a4
71,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,z2
72,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,q3
73,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,t1
74,278,33,622,231,528,0.85,exp_acyclic_depvary_step10_batch_yyy08.pl,z4
75,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,b2
76,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,t3
77,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,z1
78,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,f5
79,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,z4
80,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,e3
81,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,a3
82,304,33,674,293,652,0.97,exp_acyclic_depvary_step10_batch_yyy09.pl,q2
83,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,d5
84,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,a6
85,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,x3
86,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,b5
87,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,e3
88,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,x1
89,278,33,622,253,572,0.92,exp_acyclic_depvary_step10_batch_yyy10.pl,r3
90,16,6,44,8,28,0.64,exp_acyclic_depvary_step1_batch_yyy01.pl,s1
91,16,6,44,6,24,0.55,exp_acyclic_depvary_step1_batch_yyy01.pl,b1
92,16,6,44,8,28,0.64,exp_acyclic_depvary_step1_batch_yyy03.pl,b1
93,16,6,44,8,28,0.64,exp_acyclic_depvary_step1_batch_yyy04.pl,r1
94,16,6,44,8,28,0.64,exp_acyclic_depvary_step1_batch_yyy04.pl,p1
95,16,6,44,8,28,0.64,exp_acyclic_depvary_step1_batch_yyy05.pl,f1
96,16,6,44,4,20,0.45,exp_acyclic_depvary_step1_batch_yyy06.pl,d1
97,16,6,44,4,20,0.45,exp_acyclic_depvary_step1_batch_yyy06.pl,b1
98,16,6,44,12,36,0.82,exp_acyclic_depvary_step1_batch_yyy07.pl,s1
99,16,6,44,16,44,1.0,exp_acyclic_depvary_step1_batch_yyy07.pl,q1
100,16,6,44,12,36,0.82,exp_acyclic_depvary_step1_batch_yyy07.pl,f1
101,16,6,44,10,32,0.73,exp_acyclic_depvary_step1_batch_yyy09.pl,r1
