id,rulesNo,assumptionsNo,worstCase,relevantRulesNo,worstCaseRelevant,relevantPerc,instance,goal
1,1301,50,2702,1301,2702,1.0,aba_500_0.1_5_5_2.aba,s278
2,76,2,156,76,156,1.0,aba_25_0.1_5_10_8.aba,s2
3,1023,150,2346,1021,2342,1.0,aba_500_0.3_5_5_5.aba,s330
4,74,2,152,74,152,1.0,aba_25_0.1_5_10_9.aba,s2
5,472,10,964,472,964,1.0,aba_100_0.1_10_5_2.aba,s4
6,103,2,210,103,210,1.0,aba_25_0.1_10_10_1.aba,s1
7,2416,50,4932,2416,4932,1.0,aba_500_0.1_10_10_8.aba,s370
8,213,30,486,213,486,1.0,aba_100_0.3_5_10_6.aba,s95
9,24531,500,50062,24531,50062,1.0,aba_5000_0.1_10_10_0.aba,s3688
10,534,10,1088,534,1088,1.0,aba_100_0.1_10_10_5.aba,s55
11,1880,150,4060,1880,4060,1.0,aba_500_0.3_10_10_2.aba,s288
12,1871,150,4042,1871,4042,1.0,aba_500_0.3_10_10_6.aba,s301
13,384,30,828,384,828,1.0,aba_100_0.3_10_5_0.aba,s16
14,13480,500,27960,13480,27960,1.0,aba_5000_0.1_5_5_1.aba,s1655
15,282,10,584,282,584,1.0,aba_100_0.1_5_5_0.aba,s8
16,200,30,460,200,460,1.0,aba_100_0.3_5_10_2.aba,s15
17,206,30,472,206,472,1.0,aba_100_0.3_5_5_4.aba,s59
18,7788,600,16776,7788,16776,1.0,aba_2000_0.3_10_10_5.aba,s1410
19,137,2,278,137,278,1.0,aba_25_0.1_10_5_8.aba,s13
20,19334,1500,41668,19334,41668,1.0,aba_5000_0.3_10_10_0.aba,s3055
21,10088,200,20576,10088,20576,1.0,aba_2000_0.1_10_5_3.aba,s1837
22,121,2,246,121,246,1.0,aba_25_0.1_10_5_2.aba,s2
23,7768,600,16736,7768,16736,1.0,aba_2000_0.3_10_10_4.aba,s1968
24,46,8,108,46,108,1.0,aba_25_0.3_5_10_3.aba,s1
25,1330,50,2760,1330,2760,1.0,aba_500_0.1_5_10_5.aba,s488
26,264,10,548,264,548,1.0,aba_100_0.1_5_5_9.aba,s36
27,24871,500,50742,24871,50742,1.0,aba_5000_0.1_10_5_7.aba,s2541
28,13581,500,28162,13577,28154,1.0,aba_5000_0.1_5_5_5.aba,s1826
29,13412,500,27824,13412,27824,1.0,aba_5000_0.1_5_10_7.aba,s241
30,4073,600,9346,4073,9346,1.0,aba_2000_0.3_5_10_5.aba,s1338
31,4183,600,9566,4183,9566,1.0,aba_2000_0.3_5_10_7.aba,s153
32,1321,50,2742,1321,2742,1.0,aba_500_0.1_5_10_3.aba,s120
33,7704,600,16608,7704,16608,1.0,aba_2000_0.3_10_10_3.aba,s1006
34,10507,1500,24014,10507,24014,1.0,aba_5000_0.3_5_10_4.aba,s1088
35,62,2,128,62,128,1.0,aba_25_0.1_5_10_2.aba,s2
36,1910,150,4120,1910,4120,1.0,aba_500_0.3_10_5_5.aba,s280
37,286,10,592,286,592,1.0,aba_100_0.1_5_10_7.aba,s1
38,5351,200,11102,5349,11098,1.0,aba_2000_0.1_5_5_7.aba,s130
39,280,10,580,280,580,1.0,aba_100_0.1_5_10_0.aba,s88
40,284,10,588,284,588,1.0,aba_100_0.1_5_10_2.aba,s2
41,13320,500,27640,13320,27640,1.0,aba_5000_0.1_5_10_4.aba,s2948
42,557,10,1134,557,1134,1.0,aba_100_0.1_10_5_0.aba,s78
43,5425,200,11250,5421,11242,1.0,aba_2000_0.1_5_5_1.aba,s849
44,73,2,150,73,150,1.0,aba_25_0.1_5_10_4.aba,s1
45,5334,200,11068,5334,11068,1.0,aba_2000_0.1_5_10_2.aba,s159
46,52,8,120,52,120,1.0,aba_25_0.3_5_5_6.aba,s7
47,10394,1500,23788,10394,23788,1.0,aba_5000_0.3_5_10_1.aba,s1714
48,284,10,588,284,588,1.0,aba_100_0.1_5_5_1.aba,s63
49,1325,50,2750,1325,2750,1.0,aba_500_0.1_5_10_4.aba,s20
50,129,8,274,129,274,1.0,aba_25_0.3_10_10_5.aba,s19
51,10507,1500,24014,10495,23990,1.0,aba_5000_0.3_5_5_8.aba,s3456
52,4204,600,9608,4183,9566,1.0,aba_2000_0.3_5_5_9.aba,s1266
53,7722,600,16644,7722,16644,1.0,aba_2000_0.3_10_5_0.aba,s1804
54,10532,1500,24064,10532,24064,1.0,aba_5000_0.3_5_10_6.aba,s1091
55,5474,200,11348,5474,11348,1.0,aba_2000_0.1_5_10_4.aba,s97
56,127,2,258,127,258,1.0,aba_25_0.1_10_5_7.aba,s22
57,106,2,216,106,216,1.0,aba_25_0.1_10_5_3.aba,s18
58,113,8,242,113,242,1.0,aba_25_0.3_10_5_6.aba,s5
59,7786,600,16772,7786,16772,1.0,aba_2000_0.3_10_5_7.aba,s1163
60,71,2,146,71,146,1.0,aba_25_0.1_5_5_4.aba,s1
61,55,8,126,55,126,1.0,aba_25_0.3_5_10_5.aba,s19
62,5440,200,11280,5440,11280,1.0,aba_2000_0.1_5_10_7.aba,s198
63,217,30,494,217,494,1.0,aba_100_0.3_5_10_7.aba,s34
64,19256,1500,41512,19256,41512,1.0,aba_5000_0.3_10_10_5.aba,s4437
65,121,2,246,121,246,1.0,aba_25_0.1_10_5_6.aba,s10
66,53,8,122,53,122,1.0,aba_25_0.3_5_5_5.aba,s14
67,5400,200,11200,5400,11200,1.0,aba_2000_0.1_5_5_8.aba,s596
68,61,2,126,61,126,1.0,aba_25_0.1_5_10_0.aba,s25
69,74,8,164,74,164,1.0,aba_25_0.3_10_10_8.aba,s12
70,219,30,498,219,498,1.0,aba_100_0.3_5_10_3.aba,s2
71,134,2,272,134,272,1.0,aba_25_0.1_10_5_9.aba,s2
72,1062,150,2424,1062,2424,1.0,aba_500_0.3_5_10_8.aba,s375
73,19367,1500,41734,19367,41734,1.0,aba_5000_0.3_10_10_6.aba,s746
74,9978,200,20356,9978,20356,1.0,aba_2000_0.1_10_5_9.aba,s39
75,1364,50,2828,1364,2828,1.0,aba_500_0.1_5_10_1.aba,s166
76,60,2,124,60,124,1.0,aba_25_0.1_5_10_5.aba,s2
77,99,8,214,99,214,1.0,aba_25_0.3_10_5_9.aba,s21
78,126,2,256,126,256,1.0,aba_25_0.1_10_10_3.aba,s15
79,360,30,780,360,780,1.0,aba_100_0.3_10_5_3.aba,s93
80,10473,1500,23946,10461,23922,1.0,aba_5000_0.3_5_5_3.aba,s1482
81,1043,150,2386,1043,2386,1.0,aba_500_0.3_5_10_2.aba,s274
82,119,2,242,119,242,1.0,aba_25_0.1_10_5_1.aba,s16
83,142,2,288,142,288,1.0,aba_25_0.1_10_5_4.aba,s13
84,50,8,116,50,116,1.0,aba_25_0.3_5_5_4.aba,s1
85,1307,50,2714,1307,2714,1.0,aba_500_0.1_5_10_2.aba,s24
86,10330,1500,23660,10311,23622,1.0,aba_5000_0.3_5_5_1.aba,s1538
87,2444,50,4988,2444,4988,1.0,aba_500_0.1_10_5_2.aba,s129
88,4249,600,9698,4249,9698,1.0,aba_2000_0.3_5_10_3.aba,s1175
