instance,goal,result,duration,correct_result,verdict,steps_obtained
exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.19,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.08,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,28
exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.28,yes,corr,2
exp_acyclic_depvary_step10_batch_yyy01.pl,z3,,600.0,yes,TIMEOUT,24
exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.11,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,,600.0,no,TIMEOUT,14
exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy01.pl,v4,,600.0,yes,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.16,no,corr,0
exp_acyclic_depvary_step10_batch_yyy02.pl,c5,,600.0,no,TIMEOUT,29
exp_acyclic_depvary_step10_batch_yyy02.pl,q4,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,,600.0,yes,TIMEOUT,14
exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.11,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.11,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.11,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy02.pl,u3,,600.0,no,TIMEOUT,27
exp_acyclic_depvary_step10_batch_yyy02.pl,e3,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.17,no,corr,0
exp_acyclic_depvary_step10_batch_yyy03.pl,y4,,600.0,no,TIMEOUT,17
exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.14,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,22
exp_acyclic_depvary_step10_batch_yyy03.pl,f3,,600.0,yes,TIMEOUT,16
exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.13,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy03.pl,f4,,600.0,no,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.13,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,25
exp_acyclic_depvary_step10_batch_yyy03.pl,p3,,600.0,no,TIMEOUT,21
exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.15,no,corr,0
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,,600.0,yes,TIMEOUT,24
exp_acyclic_depvary_step10_batch_yyy04.pl,q4,,600.0,yes,TIMEOUT,21
exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,224.59,yes,corr,13
exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.13,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600.0,no,TIMEOUT,25
exp_acyclic_depvary_step10_batch_yyy04.pl,p2,,600.0,no,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy04.pl,r2,,600.0,no,TIMEOUT,19
exp_acyclic_depvary_step10_batch_yyy04.pl,a4,,600.0,yes,TIMEOUT,24
exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.09,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy05.pl,c3,,600.0,no,TIMEOUT,29
exp_acyclic_depvary_step10_batch_yyy05.pl,e1,,600.0,no,TIMEOUT,21
exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.09,yes,corr,0
exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.11,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy05.pl,r4,,600.0,yes,TIMEOUT,15
exp_acyclic_depvary_step10_batch_yyy05.pl,p1,,600.0,no,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy05.pl,c2,,600.0,no,TIMEOUT,30
exp_acyclic_depvary_step10_batch_yyy05.pl,b1,,600.0,yes,TIMEOUT,19
exp_acyclic_depvary_step10_batch_yyy05.pl,u2,,600.0,no,TIMEOUT,26
exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.09,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,0.09,no,corr,0
exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.09,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy06.pl,a5,,600.0,no,TIMEOUT,23
exp_acyclic_depvary_step10_batch_yyy06.pl,q4,,600.0,no,TIMEOUT,20
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,0.12,yes,corr,1
exp_acyclic_depvary_step10_batch_yyy06.pl,c1,,600.0,yes,TIMEOUT,14
exp_acyclic_depvary_step10_batch_yyy06.pl,r4,,600.0,no,TIMEOUT,21
exp_acyclic_depvary_step10_batch_yyy06.pl,y1,,600.0,no,TIMEOUT,21
exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,0.57,yes,corr,2
exp_acyclic_depvary_step10_batch_yyy07.pl,d4,,600.0,no,TIMEOUT,28
exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,0.1,no,corr,0
