id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.93,yes,corr,None,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.86,yes,corr,None,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,,,,
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,2.31,yes,corr,None,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,35.47,yes,corr,None,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.89,yes,corr,None,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.82,yes,corr,None,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,1.45,no,corr,None,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,14.03,yes,corr,None,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.4,no,corr,None,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,37.64,no,corr,None,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,10.26,no,corr,None,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,8.06,yes,corr,None,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.92,yes,corr,None,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.82,yes,corr,None,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.75,yes,corr,None,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.89,yes,corr,None,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,21.53,no,corr,None,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,1.33,no,corr,None,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.57,no,corr,None,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,258.13,no,corr,None,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.99,yes,corr,None,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,1.11,yes,corr,None,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,1.44,yes,corr,None,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,3.77,no,corr,None,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,1.29,yes,corr,None,None,None,None
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,,,,
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,45.82,no,corr,None,None,None,None
