id,instance,goal,result,duration,correct_result,verdict,steps_obtained
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.04,yes,corr,1.0
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.04,yes,corr,1.0
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.07,yes,corr,2.0
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,0.26,yes,corr,9.0
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.08,yes,corr,1.0
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.09,yes,corr,1.0
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.1,no,corr,1.0
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,0.33,yes,corr,5.0
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.05,no,corr,0.0
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,0.33,no,corr,8.0
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.08,no,corr,4.0
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.08,yes,corr,4.0
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.06,yes,corr,1.0
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.06,yes,corr,1.0
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.06,yes,corr,1.0
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.05,yes,corr,1.0
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.1,no,corr,6.0
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.05,no,corr,1.0
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.06,no,corr,0.0
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,0.09,no,corr,3.0
