id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.53,yes,corr,None,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.54,yes,corr,None,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,356.19,no,corr,None,None,None,None
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,1.38,yes,corr,None,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,15.78,yes,corr,None,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.59,yes,corr,None,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.61,yes,corr,None,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,298.53,no,corr,None,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,420.11,no,corr,None,None,None,None
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,6.07,yes,corr,None,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,254.22,no,corr,None,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,330.27,no,corr,None,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,334.07,no,corr,None,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,3.99,yes,corr,None,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.85,yes,corr,None,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.84,yes,corr,None,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,1.12,yes,corr,None,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.61,yes,corr,None,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,328.37,no,corr,None,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,328.81,no,corr,None,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,284.73,no,corr,None,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,390.07,no,corr,None,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.67,yes,corr,None,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,no,311.98,no,corr,None,None,None,None
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,0.61,yes,corr,None,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.62,yes,corr,None,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,315.65,no,corr,None,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.8,yes,corr,None,None,None,None
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,no,388.23,no,corr,None,None,None,None
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,375.05,no,corr,None,None,None,None
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,283.36,no,corr,None,None,None,None
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,6.7,yes,corr,None,None,None,None
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,12.99,yes,corr,None,None,None,None
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,0.84,yes,corr,None,None,None,None
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.74,yes,corr,None,None,None,None
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,no,413.52,no,corr,None,None,None,None
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,no,393.64,no,corr,None,None,None,None
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,399.79,no,corr,None,None,None,None
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,yes,71.99,yes,corr,None,None,None,None
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.68,yes,corr,None,None,None,None
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,383.52,no,corr,None,None,None,None
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,380.93,no,corr,None,None,None,None
43,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.44,yes,corr,None,None,None,None
44,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.62,yes,corr,None,None,None,None
45,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,8.96,yes,corr,None,None,None,None
46,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,389.85,no,corr,None,None,None,None
47,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,316.68,no,corr,None,None,None,None
48,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,8.85,yes,corr,None,None,None,None
49,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,389.11,no,corr,None,None,None,None
50,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.56,yes,corr,None,None,None,None
51,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,321.97,no,corr,None,None,None,None
52,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.63,yes,corr,None,None,None,None
53,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,363.18,no,corr,None,None,None,None
54,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,380.66,no,corr,None,None,None,None
55,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.68,yes,corr,None,None,None,None
56,exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,0.75,yes,corr,None,None,None,None
