id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,36.4,yes,corr,None,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,33.64,yes,corr,None,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,310.06,no,corr,None,None,None,None
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,34.96,yes,corr,None,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,47.11,yes,corr,None,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,36.11,yes,corr,None,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,34.77,yes,corr,None,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,31.71,no,corr,None,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,74.75,yes,corr,None,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,75.75,no,corr,None,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,89.37,no,corr,None,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,73.16,no,corr,None,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,78.54,yes,corr,None,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,78.11,yes,corr,None,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,78.36,yes,corr,None,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,78.73,yes,corr,None,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,78.45,yes,corr,None,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,72.63,no,corr,None,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,72.88,no,corr,None,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,68.32,no,corr,None,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,291.46,no,corr,None,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,69.12,yes,corr,None,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,
