id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.16,yes,corr,1,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.16,yes,corr,1,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,,,,
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.31,yes,corr,2,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,1.08,yes,corr,9,3,18,17
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.49,yes,corr,1,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.47,yes,corr,1,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.43,no,corr,1,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,2.29,yes,corr,5,2,14,14
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.47,no,corr,0,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,1.09,no,corr,6,1,27,27
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.61,no,corr,1,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.91,yes,corr,4,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.66,yes,corr,1,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.72,yes,corr,1,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.89,yes,corr,1,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.86,yes,corr,1,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.9,no,corr,1,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.82,no,corr,1,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.87,no,corr,0,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,1.28,no,corr,3,1,16,16
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.6,yes,corr,1,None,None,None
