id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.16,yes,corr,1.0,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.16,yes,corr,1.0,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,193.46,no,corr,23.0,None,None,None
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.27,yes,corr,2.0,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,1.01,yes,corr,9.0,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.25,yes,corr,1.0,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.26,yes,corr,1.0,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.27,no,corr,1.0,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,2.33,yes,corr,5.0,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.53,no,corr,0.0,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,1.2,no,corr,6.0,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.47,no,corr,1.0,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.57,yes,corr,4.0,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.56,yes,corr,1.0,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.5,yes,corr,1.0,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.43,yes,corr,1.0,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.43,yes,corr,1.0,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.43,no,corr,1.0,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.45,no,corr,1.0,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.4,no,corr,0.0,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,47.67,no,corr,16.0,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.71,yes,corr,1.0,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,0.95,yes,corr,1.0,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.62,yes,corr,1.0,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,1.11,no,corr,2.0,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.63,yes,corr,1.0,None,None,None
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,,,,
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,1.7,no,corr,8.0,None,None,None
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.27,no,corr,0.0,None,None,None
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,1.47,yes,corr,5.0,None,None,None
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,3.2,yes,corr,7.0,None,None,None
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,0.3,yes,corr,1.0,None,None,None
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.29,yes,corr,1.0,None,None,None
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600.0,no,TIMEOUT,,,,
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,,600.0,no,TIMEOUT,,,,
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,5.2,no,corr,13.0,None,None,None
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,yes,24.19,yes,corr,16.0,None,None,None
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.31,yes,corr,1.0,None,None,None
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,2.73,no,corr,14.0,None,None,None
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,0.4,no,corr,1.0,None,None,None
43,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,0.35,yes,corr,0.0,None,None,None
44,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,0.36,yes,corr,1.0,None,None,None
45,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,0.85,yes,corr,6.0,None,None,None
46,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,1.67,no,corr,18.0,None,None,None
47,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,48.43,no,corr,18.0,None,None,None
48,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,1.25,yes,corr,6.0,None,None,None
49,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,9.1,no,corr,12.0,None,None,None
50,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,0.25,yes,corr,1.0,None,None,None
51,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,0.25,no,corr,0.0,None,None,None
52,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,0.26,yes,corr,1.0,None,None,None
53,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,0.28,no,corr,1.0,None,None,None
54,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,0.26,no,corr,1.0,None,None,None
55,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,0.25,yes,corr,1.0,None,None,None
