id,instance,goal,result,duration,correct_result,verdict,steps_obtained
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.11,yes,corr,1
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.13,yes,corr,1
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,551.93,no,corr,23
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.1,yes,corr,2
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,0.3,yes,corr,9
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.1,yes,corr,1
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.11,yes,corr,1
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.11,no,corr,1
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,0.53,yes,corr,5
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.1,no,corr,0
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,0.25,no,corr,6
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.12,no,corr,1
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.18,yes,corr,4
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.14,yes,corr,1
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.12,yes,corr,1
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.12,yes,corr,1
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.12,yes,corr,1
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.13,no,corr,1
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.12,no,corr,1
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.11,no,corr,0
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,0.2,no,corr,3
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.11,yes,corr,1
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,0.15,yes,corr,1
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.14,yes,corr,1
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.18,no,corr,2
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.15,yes,corr,1
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,,600.0,no,TIMEOUT,
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,0.76,no,corr,8
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.17,no,corr,0
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,1.22,yes,corr,5
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,2.71,yes,corr,7
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,0.22,yes,corr,1
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.21,yes,corr,1
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,,600.0,no,TIMEOUT,
