id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.13,yes,corr,1,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.14,yes,corr,1,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,,600.0,no,TIMEOUT,,,,
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.27,yes,corr,2,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,0.62,yes,corr,9,3,18,17
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.2,yes,corr,1,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.21,yes,corr,1,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.22,no,corr,1,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,2.41,yes,corr,5,2,14,14
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.46,no,corr,0,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,1.03,no,corr,6,1,27,27
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.51,no,corr,1,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.92,yes,corr,4,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.68,yes,corr,1,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.73,yes,corr,1,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.67,yes,corr,1,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.55,yes,corr,1,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.55,no,corr,1,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.6,no,corr,1,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.51,no,corr,0,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,0.89,no,corr,3,1,16,16
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.78,yes,corr,1,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,1.62,yes,corr,1,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.69,yes,corr,1,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.87,no,corr,2,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.53,yes,corr,1,None,None,None
