id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.11,yes,corr,1,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.13,yes,corr,1,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,159.54,no,corr,23,None,None,None
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.22,yes,corr,2,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,0.74,yes,corr,9,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.18,yes,corr,1,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.18,yes,corr,1,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.2,no,corr,1,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,,600.0,no,TIMEOUT,,,,
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,2.09,yes,corr,5,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.41,no,corr,0,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,1.09,no,corr,6,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.59,no,corr,1,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,0.65,yes,corr,4,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.51,yes,corr,1,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.67,yes,corr,1,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,0.63,yes,corr,1,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.5,yes,corr,1,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.52,no,corr,1,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.61,no,corr,1,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.46,no,corr,0,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,41.84,no,corr,16,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.53,yes,corr,1,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,,600.0,no,TIMEOUT,,,,
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,0.92,yes,corr,1,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.95,yes,corr,1,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.95,no,corr,2,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.69,yes,corr,1,None,None,None
