id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,0.18,yes,corr,1,None,None,None
2,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,0.15,yes,corr,1,None,None,None
3,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,0.16,no,corr,3,None,None,None
4,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,0.16,yes,corr,2,None,None,None
5,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,no,0.19,yes,inc,3,None,None,None
6,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,0.13,yes,corr,1,None,None,None
7,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,0.13,yes,corr,1,None,None,None
8,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,0.16,no,corr,2,None,None,None
9,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,0.15,no,corr,3,None,None,None
10,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,no,0.17,yes,inc,3,None,None,None
11,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,0.17,no,corr,3,None,None,None
12,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,0.24,no,corr,8,None,None,None
13,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,0.17,no,corr,4,None,None,None
14,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,no,0.19,yes,inc,5,None,None,None
15,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,0.12,yes,corr,1,None,None,None
16,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,0.12,yes,corr,1,None,None,None
17,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,no,0.23,yes,inc,6,None,None,None
18,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,0.15,yes,corr,1,None,None,None
19,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,0.17,no,corr,4,None,None,None
20,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,0.22,no,corr,5,None,None,None
21,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,0.23,no,corr,1,None,None,None
22,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,0.17,no,corr,2,None,None,None
23,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,0.15,yes,corr,1,None,None,None
24,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,no,0.12,no,corr,1,None,None,None
25,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,no,0.12,yes,inc,1,None,None,None
26,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,0.17,yes,corr,1,None,None,None
27,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,0.17,no,corr,1,None,None,None
28,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,0.17,yes,corr,1,None,None,None
29,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,no,0.19,no,corr,2,None,None,None
30,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,0.23,no,corr,2,None,None,None
31,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,0.19,no,corr,2,None,None,None
32,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,no,0.25,yes,inc,3,None,None,None
33,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,no,0.3,yes,inc,3,None,None,None
34,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,no,0.23,yes,inc,2,None,None,None
35,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,0.2,yes,corr,1,None,None,None
36,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,no,0.23,no,corr,3,None,None,None
37,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,no,0.23,no,corr,3,None,None,None
38,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,0.21,no,corr,3,None,None,None
39,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,no,0.24,yes,inc,2,None,None,None
40,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,0.19,yes,corr,1,None,None,None
41,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,0.27,no,corr,4,None,None,None
42,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,0.27,no,corr,4,None,None,None
