id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min
1,instance_n=10_m=0_b=0.lp,fr3_z1,yes,0.14,,inc,None,None,None,None
2,instance_n=10_m=0_b=0.lp,fr5_y1,no,0.15,,inc,None,None,None,None
3,instance_n=10_m=0_b=0.lp,fr4_q1,no,0.15,,inc,None,None,None,None
4,instance_n=10_m=0_b=0.lp,fr4_r1,no,0.14,,inc,None,None,None,None
5,instance_n=10_m=0_b=0.lp,fr6_q3,no,0.13,,inc,None,None,None,None
6,instance_n=10_m=0_b=0.lp,fr8_z1,no,0.14,,inc,None,None,None,None
7,instance_n=10_m=0_b=0.lp,fr7_q4,no,0.14,,inc,None,None,None,None
8,instance_n=10_m=0_b=0.lp,fr6_y3,yes,0.13,,inc,None,None,None,None
9,instance_n=10_m=0_b=0.lp,fr10_d1,yes,0.13,,inc,None,None,None,None
10,instance_n=10_m=0_b=0.lp,fr4_e1,no,0.13,,inc,None,None,None,None
11,instance_n=10_m=0_b=1.lp,fr9_w1,no,0.12,,inc,None,None,None,None
12,instance_n=10_m=0_b=1.lp,fr2_s2,no,0.13,,inc,None,None,None,None
13,instance_n=10_m=0_b=1.lp,fr8_b1,no,0.13,,inc,None,None,None,None
14,instance_n=10_m=0_b=1.lp,fr4_t5,yes,0.13,,inc,None,None,None,None
15,instance_n=10_m=0_b=1.lp,fr10_f2,no,0.13,,inc,None,None,None,None
16,instance_n=10_m=0_b=1.lp,fr8_c2,yes,0.12,,inc,None,None,None,None
17,instance_n=10_m=0_b=1.lp,fr10_t3,no,0.13,,inc,None,None,None,None
18,instance_n=10_m=0_b=1.lp,fr1_z3,no,0.12,,inc,None,None,None,None
19,instance_n=10_m=0_b=1.lp,fr4_b6,no,0.12,,inc,None,None,None,None
20,instance_n=10_m=0_b=1.lp,fr4_v5,yes,0.13,,inc,None,None,None,None
21,instance_n=10_m=0_b=2.lp,fr6_b5,no,0.12,,inc,None,None,None,None
22,instance_n=10_m=0_b=2.lp,fr1_a3,no,0.12,,inc,None,None,None,None
23,instance_n=10_m=0_b=2.lp,fr10_v2,no,0.12,,inc,None,None,None,None
24,instance_n=10_m=0_b=2.lp,fr4_q2,yes,0.11,,inc,None,None,None,None
25,instance_n=10_m=0_b=2.lp,fr3_r2,yes,0.12,,inc,None,None,None,None
26,instance_n=10_m=0_b=2.lp,fr2_w2,no,0.11,,inc,None,None,None,None
27,instance_n=10_m=0_b=2.lp,fr4_f2,no,0.12,,inc,None,None,None,None
28,instance_n=10_m=0_b=2.lp,fr6_z2,yes,0.11,,inc,None,None,None,None
29,instance_n=10_m=0_b=2.lp,fr5_q2,no,0.11,,inc,None,None,None,None
30,instance_n=10_m=0_b=2.lp,fr3_z1,yes,0.11,,inc,None,None,None,None
31,instance_n=10_m=0_b=3.lp,fr9_c2,yes,0.14,,inc,None,None,None,None
32,instance_n=10_m=0_b=3.lp,fr2_a1,no,0.13,,inc,None,None,None,None
33,instance_n=10_m=0_b=3.lp,fr5_y2,no,0.13,,inc,None,None,None,None
34,instance_n=10_m=0_b=3.lp,fr8_c3,no,0.13,,inc,None,None,None,None
35,instance_n=10_m=0_b=3.lp,fr10_w3,no,0.13,,inc,None,None,None,None
36,instance_n=10_m=0_b=3.lp,fr6_w1,yes,0.13,,inc,None,None,None,None
37,instance_n=10_m=0_b=3.lp,fr9_b3,yes,0.13,,inc,None,None,None,None
38,instance_n=10_m=0_b=3.lp,fr5_f3,no,0.12,,inc,None,None,None,None
39,instance_n=10_m=0_b=3.lp,fr10_c2,no,0.13,,inc,None,None,None,None
40,instance_n=10_m=0_b=3.lp,fr9_a3,yes,0.13,,inc,None,None,None,None
41,instance_n=10_m=0_b=4.lp,fr4_a3,yes,0.13,,inc,None,None,None,None
42,instance_n=10_m=0_b=4.lp,fr7_d1,no,0.13,,inc,None,None,None,None
43,instance_n=10_m=0_b=4.lp,fr5_y1,yes,0.12,,inc,None,None,None,None
44,instance_n=10_m=0_b=4.lp,fr4_v2,yes,0.13,,inc,None,None,None,None
45,instance_n=10_m=0_b=4.lp,fr5_x2,yes,0.13,,inc,None,None,None,None
46,instance_n=10_m=0_b=4.lp,fr2_r2,no,0.13,,inc,None,None,None,None
47,instance_n=10_m=0_b=4.lp,fr7_a1,yes,0.12,,inc,None,None,None,None
48,instance_n=10_m=0_b=4.lp,fr4_y4,yes,0.13,,inc,None,None,None,None
49,instance_n=10_m=0_b=4.lp,fr2_u1,no,0.13,,inc,None,None,None,None
50,instance_n=10_m=0_b=4.lp,fr1_q1,yes,0.14,,inc,None,None,None,None
51,instance_n=10_m=1_b=0.lp,fr1_w2,yes,0.18,,inc,None,None,None,None
52,instance_n=10_m=1_b=0.lp,fr7_y1,yes,0.18,,inc,None,None,None,None
53,instance_n=10_m=1_b=0.lp,fr5_v3,no,0.18,,inc,None,None,None,None
54,instance_n=10_m=1_b=0.lp,fr8_w5,yes,0.18,,inc,None,None,None,None
