,instance,goal,adm_result,stb_result,is_trivial
0,exp_acyclic_depvary_step10_batch_yyy01.pl,w2,yes,yes,no
1,exp_acyclic_depvary_step10_batch_yyy01.pl,w5,yes,yes,no
2,exp_acyclic_depvary_step10_batch_yyy01.pl,q4,no,no,no
3,exp_acyclic_depvary_step10_batch_yyy01.pl,x5,yes,yes,no
4,exp_acyclic_depvary_step10_batch_yyy01.pl,z3,yes,yes,no
5,exp_acyclic_depvary_step10_batch_yyy01.pl,u2,yes,yes,no
6,exp_acyclic_depvary_step10_batch_yyy01.pl,t4,yes,yes,no
7,exp_acyclic_depvary_step10_batch_yyy01.pl,c4,no,no,no
8,exp_acyclic_depvary_step10_batch_yyy01.pl,u3,no,no,no
9,exp_acyclic_depvary_step10_batch_yyy01.pl,v4,yes,yes,no
10,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,no,yes
11,exp_acyclic_depvary_step10_batch_yyy02.pl,c5,no,no,no
12,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,no,no,no
13,exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,no,no
14,exp_acyclic_depvary_step10_batch_yyy02.pl,r5,yes,no,no
15,exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,no,no
16,exp_acyclic_depvary_step10_batch_yyy02.pl,b6,yes,no,no
17,exp_acyclic_depvary_step10_batch_yyy02.pl,p1,yes,no,no
18,exp_acyclic_depvary_step10_batch_yyy02.pl,u3,no,no,no
19,exp_acyclic_depvary_step10_batch_yyy02.pl,e3,no,no,no
20,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,no,yes
21,exp_acyclic_depvary_step10_batch_yyy03.pl,y4,no,no,no
22,exp_acyclic_depvary_step10_batch_yyy03.pl,x2,yes,yes,no
23,exp_acyclic_depvary_step10_batch_yyy03.pl,e4,no,no,no
24,exp_acyclic_depvary_step10_batch_yyy03.pl,f3,yes,yes,no
25,exp_acyclic_depvary_step10_batch_yyy03.pl,u3,yes,yes,no
26,exp_acyclic_depvary_step10_batch_yyy03.pl,f4,no,no,no
27,exp_acyclic_depvary_step10_batch_yyy03.pl,w3,yes,yes,no
28,exp_acyclic_depvary_step10_batch_yyy03.pl,v1,no,no,no
29,exp_acyclic_depvary_step10_batch_yyy03.pl,p3,no,no,no
30,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,no,yes
31,exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,yes,no
32,exp_acyclic_depvary_step10_batch_yyy04.pl,q4,yes,yes,no
33,exp_acyclic_depvary_step10_batch_yyy04.pl,e4,yes,yes,no
34,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,yes,yes,no
35,exp_acyclic_depvary_step10_batch_yyy04.pl,y1,no,no,no
36,exp_acyclic_depvary_step10_batch_yyy04.pl,p2,no,no,no
37,exp_acyclic_depvary_step10_batch_yyy04.pl,r2,no,no,no
38,exp_acyclic_depvary_step10_batch_yyy04.pl,a4,yes,yes,no
39,exp_acyclic_depvary_step10_batch_yyy04.pl,x2,yes,yes,no
40,exp_acyclic_depvary_step10_batch_yyy05.pl,c3,no,no,no
41,exp_acyclic_depvary_step10_batch_yyy05.pl,e1,no,no,no
42,exp_acyclic_depvary_step10_batch_yyy05.pl,f5,yes,yes,no
43,exp_acyclic_depvary_step10_batch_yyy05.pl,y3,yes,yes,no
44,exp_acyclic_depvary_step10_batch_yyy05.pl,r4,yes,yes,no
45,exp_acyclic_depvary_step10_batch_yyy05.pl,p1,no,no,no
46,exp_acyclic_depvary_step10_batch_yyy05.pl,c2,no,no,no
47,exp_acyclic_depvary_step10_batch_yyy05.pl,b1,yes,yes,no
48,exp_acyclic_depvary_step10_batch_yyy05.pl,u2,no,no,no
49,exp_acyclic_depvary_step10_batch_yyy05.pl,t1,yes,yes,no
50,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,no,yes
51,exp_acyclic_depvary_step10_batch_yyy06.pl,t3,yes,yes,no
52,exp_acyclic_depvary_step10_batch_yyy06.pl,a5,no,no,no
53,exp_acyclic_depvary_step10_batch_yyy06.pl,q4,no,no,no
54,exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,yes,no
55,exp_acyclic_depvary_step10_batch_yyy06.pl,z4,yes,yes,no
56,exp_acyclic_depvary_step10_batch_yyy06.pl,c1,yes,yes,no
57,exp_acyclic_depvary_step10_batch_yyy06.pl,r4,no,no,no
58,exp_acyclic_depvary_step10_batch_yyy06.pl,y1,no,no,no
59,exp_acyclic_depvary_step10_batch_yyy06.pl,p1,yes,yes,no
60,exp_acyclic_depvary_step10_batch_yyy07.pl,d4,no,no,no
61,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,no,yes
62,exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,no,no
63,exp_acyclic_depvary_step10_batch_yyy07.pl,z4,no,no,no
64,exp_acyclic_depvary_step10_batch_yyy07.pl,y1,no,no,no
65,exp_acyclic_depvary_step10_batch_yyy07.pl,r2,yes,yes,no
66,exp_acyclic_depvary_step10_batch_yyy07.pl,u2,yes,yes,no
