Unnamed: 0,instance,goal,adm_result,stb_result,is_trivial
10,exp_acyclic_depvary_step10_batch_yyy02.pl,p5,no,no,yes
20,exp_acyclic_depvary_step10_batch_yyy03.pl,s3,no,no,yes
30,exp_acyclic_depvary_step10_batch_yyy04.pl,t4,no,no,yes
50,exp_acyclic_depvary_step10_batch_yyy06.pl,y4,no,no,yes
61,exp_acyclic_depvary_step10_batch_yyy07.pl,u4,no,no,yes
79,exp_acyclic_depvary_step10_batch_yyy08.pl,r5,no,no,yes
81,exp_acyclic_depvary_step10_batch_yyy09.pl,y4,no,no,yes
87,exp_acyclic_depvary_step10_batch_yyy09.pl,y1,no,no,yes
92,exp_acyclic_depvary_step10_batch_yyy10.pl,v2,no,no,yes
94,exp_acyclic_depvary_step10_batch_yyy10.pl,x2,no,no,yes
95,exp_acyclic_depvary_step10_batch_yyy10.pl,y3,no,no,yes
100,exp_acyclic_depvary_step1_batch_yyy01.pl,u5,no,no,yes
101,exp_acyclic_depvary_step1_batch_yyy01.pl,s4,no,no,yes
102,exp_acyclic_depvary_step1_batch_yyy01.pl,d3,no,no,yes
103,exp_acyclic_depvary_step1_batch_yyy01.pl,q5,no,no,yes
104,exp_acyclic_depvary_step1_batch_yyy01.pl,z4,no,no,yes
106,exp_acyclic_depvary_step1_batch_yyy01.pl,z3,no,no,yes
107,exp_acyclic_depvary_step1_batch_yyy01.pl,u2,no,no,yes
108,exp_acyclic_depvary_step1_batch_yyy01.pl,c5,no,no,yes
110,exp_acyclic_depvary_step1_batch_yyy02.pl,y4,no,no,yes
111,exp_acyclic_depvary_step1_batch_yyy02.pl,z5,no,no,yes
112,exp_acyclic_depvary_step1_batch_yyy02.pl,x3,no,no,yes
113,exp_acyclic_depvary_step1_batch_yyy02.pl,q4,no,no,yes
114,exp_acyclic_depvary_step1_batch_yyy02.pl,x2,no,no,yes
115,exp_acyclic_depvary_step1_batch_yyy02.pl,c6,no,no,yes
116,exp_acyclic_depvary_step1_batch_yyy02.pl,d2,no,no,yes
